Date,Arrivals,Occupied,OccPercent,RoomRev,RevPAR,ADR
2022-11-08,18,27,35.53,2052.48,27.01,76.02
2022-11-09,24,31,40.79,2794.81,36.77,90.16
2022-11-10,22,39,51.32,3251.49,42.78,83.37
2022-11-11,33,42,55.26,3822.98,50.3,91.02
2022-11-12,36,52,69.33,4989.17,66.52,95.95
2022-11-13,18,36,47.37,2897.96,38.13,80.5
2022-11-14,21,39,51.32,3284.54,43.22,84.22
2022-11-15,37,54,71.05,4621.02,60.8,85.57
2022-11-16,27,47,61.84,4020.84,52.91,85.55
2022-11-17,35,51,67.11,4339.73,57.1,85.09
2022-11-18,35,46,60.53,4211.11,55.41,91.55
2022-11-19,29,41,53.95,3588.01,47.21,87.51
2022-11-20,20,30,39.47,2511.87,33.05,83.73
2022-11-21,18,25,32.89,2095.52,27.57,83.82
2022-11-22,23,30,39.47,2437.31,32.07,81.24
2022-11-23,22,29,38.16,2612.32,34.37,90.08
2022-11-24,10,21,27.63,1820.82,23.96,86.71
2022-11-25,18,23,30.26,2147.66,28.26,93.38
2022-11-26,14,21,27.63,1939.4,25.52,92.35
2022-11-27,12,18,23.68,1448.54,19.06,80.47
2022-11-28,16,19,25.0,1415.97,18.63,74.52
2022-11-29,13,17,22.37,1406.86,18.51,82.76
2022-11-30,16,21,27.63,1648.77,21.69,78.51
2022-12-01,23,28,36.84,2247.2,29.57,80.26
2022-12-02,29,37,48.68,3370.05,44.34,91.08
2022-12-03,27,40,52.63,3994.99,52.57,99.87
2022-12-04,11,17,22.37,1619.16,21.3,95.24
2022-12-05,7,12,15.79,1184.53,15.59,98.71
2022-12-06,15,22,28.95,1863.94,24.53,84.72
2022-12-07,15,20,26.32,1506.01,19.82,75.3
2022-12-08,15,22,28.95,1615.98,21.26,73.45
2022-12-09,35,44,57.89,3929.04,51.7,89.3
2022-12-10,20,32,42.11,3128.99,41.17,97.78
2022-12-11,10,13,17.11,898.21,11.82,69.09
2022-12-12,18,21,27.63,1807.86,23.79,86.09
2022-12-13,13,20,26.32,1494.17,19.66,74.71
2022-12-14,18,26,34.21,1891.52,24.89,72.75
